product_name,code_country,pnns_groups_1,pnns_groups_2,nutrition-score-uk_100g,nutrition-score-fr_100g,sodium_100g,salt_100g,proteins_100g,energy_100g,saturated-fat_100g,sugars_100g,fat_100g,carbohydrates_100g
Velouté 7 Légumes Bio,FRA,Fruits and vegetables,Soups,-1.0,-1.0,0.25,0.635,0.5,127.0,0.2,1.1,0.9,4.3
Velouté légumes saveur du Sud,FRA,Fruits and vegetables,Soups,0.0,0.0,0.22,0.5588,0.5,142.0,0.4,2.3,1.9,2.9
Jambon Serrano,ESP,Fish Meat Eggs,Processed meat,18.0,18.0,1.84,4.6736,30.7,1043.0,5.3,0.2,14.0,0.2
Speck Alto Adige IGP,ITA,Fish Meat Eggs,Processed meat,21.0,21.0,1.5748031496063,4.0,29.0,1260.0,8.2,0.5,21.0,0.5
Cerise noires ,FRA,Sugary snacks,Sweets,12.0,12.0,0.208661417322835,0.53,0.7,1044.0,0.0,50.0,0.6,59.0
Sablés framboise No Gluten !,IRL,Sugary snacks,Biscuits and cakes,17.0,17.0,0.19685039370078697,0.5,1.7,2054.0,6.5,23.0,20.0,75.0
Haricots blancs sauce tomate BIO,NLD,Composite foods,One-dish meals,-3.0,-3.0,0.4,1.016,5.2,358.0,0.0,3.6,0.4,12.7
Escalopes de dinde à la milanaise (x 2),FRA,Composite foods,One-dish meals,-2.0,-2.0,0.3,0.762,23.0,480.0,0.1,2.9,0.4,3.7
Pâtes de fruits d'Auvergne,FRA,Fruits and vegetables,Fruits,8.0,8.0,0.0590551181102362,0.15,0.8,1390.0,0.1,71.0,0.5,80.0
Havarti,DNK,Milk and dairy products,Cheese,23.0,18.0,0.78740157480315,2.0,19.0,1731.0,24.0,0.0,38.0,0.0
Filets de Sardine (au Naturel),FRA,Fish Meat Eggs,Fish and seafood,4.0,4.0,0.4,1.016,21.0,764.0,3.5,0.0,11.0,0.0
Gressins au sésame et à l'huile d'olive vierge extra 8 g,FRA,Cereals and potatoes,Bread,9.0,9.0,0.590551181102362,1.5,15.0,2003.0,3.7,2.1,22.0,53.0
